Bairro;Data;Acidentes de Trânsito
Tupiry;01.04.2013;1
Antártica;01.04.2013;6
Vila Sônia;01.04.2013;3
Glória;01.04.2013;2
Sítio do Campo;01.04.2013;10
Xixová;01.04.2013;18
Serra do Mar;01.04.2013;0
Não Informado;01.04.2013;0
Militar;01.04.2014;0
Canto do Forte;01.04.2014;4
Boqueirão;01.04.2014;39
Guilhermina;01.04.2014;14
Aviação;01.04.2014;9
Tupi;01.04.2014;9
Ocian;01.04.2014;9
Mirim;01.04.2014;4
Maracanã;01.04.2014;0
Caiçara;01.04.2014;0
Real ;01.04.2014;0
Flórida;01.04.2014;0
Solemar;01.04.2014;0
Cidade da Criança;01.04.2014;0
Princesa;01.04.2014;0
Imperador;01.04.2014;0
Melvi;01.04.2014;0
Samambaia;01.04.2014;0
Esmeralda;01.04.2014;0
Ribeirópolis;01.04.2014;0
Andaraguá;01.04.2014;0
Nova Mirim;01.04.2014;7
Anhanguera;01.04.2014;2
Quietude;01.04.2014;3
Santa Marina;01.04.2014;0
Tupiry;01.04.2014;2
Antártica;01.04.2014;9
Vila Sônia;01.04.2014;8
Glória;01.04.2014;6
Sítio do Campo;01.04.2014;6
Xixová;01.04.2014;11
Serra do Mar;01.04.2014;0
Não Informado;01.04.2014;0
Militar;01.04.2015;0
Canto do Forte;01.04.2015;5
Boqueirão;01.04.2015;22
Guilhermina;01.04.2015;13
Aviação;01.04.2015;8
Tupi;01.04.2015;11
Ocian;01.04.2015;13
Mirim;01.04.2015;9
Maracanã;01.04.2015;0
Caiçara;01.04.2015;5
Real ;01.04.2015;2
Flórida;01.04.2015;0
Solemar;01.04.2015;0
Cidade da Criança;01.04.2015;0
Princesa;01.04.2015;0
Imperador;01.04.2015;0
Melvi;01.04.2015;2
Samambaia;01.04.2015;6
Esmeralda;01.04.2015;4
Ribeirópolis;01.04.2015;2
Andaraguá;01.04.2015;0
Nova Mirim;01.04.2015;5
Anhanguera;01.04.2015;2
Quietude;01.04.2015;3
Santa Marina;01.04.2015;0
Tupiry;01.04.2015;1
Antártica;01.04.2015;7
Vila Sônia;01.04.2015;2
Glória;01.04.2015;4
Sítio do Campo;01.04.2015;10
Xixová;01.04.2015;7
Serra do Mar;01.04.2015;0
Não Informado;01.04.2015;0
Militar;01.04.2016;0
Canto do Forte;01.04.2016;8
Boqueirão;01.04.2016;29
Guilhermina;01.04.2016;12
Aviação;01.04.2016;6
Tupi;01.04.2016;8
Ocian;01.04.2016;7
Mirim;01.04.2016;11
Maracanã;01.04.2016;6
Caiçara;01.04.2016;5
Real ;01.04.2016;1
Flórida;01.04.2016;1
Solemar;01.04.2016;1
Cidade da Criança;01.04.2016;0
Princesa;01.04.2016;1
Imperador;01.04.2016;0
Melvi;01.04.2016;2
Samambaia;01.04.2016;7
Esmeralda;01.04.2016;4
Ribeirópolis;01.04.2016;1
Andaraguá;01.04.2016;0
Nova Mirim;01.04.2016;2
Anhanguera;01.04.2016;5
Quietude;01.04.2016;3
Santa Marina;01.04.2016;0
Tupiry;01.04.2016;5
Antártica;01.04.2016;6
Vila Sônia;01.04.2016;2
Glória;01.04.2016;2
Sítio do Campo;01.04.2016;11
Xixová;01.04.2016;9
Serra do Mar;01.04.2016;0
Não Informado;01.04.2016;0
Militar;01.04.2017;0
Canto do Forte;01.04.2017;9
Boqueirão;01.04.2017;25
Guilhermina;01.04.2017;10
Aviação;01.04.2017;14
Tupi;01.04.2017;6
Ocian;01.04.2017;12
Mirim;01.04.2017;17
Maracanã;01.04.2017;4
Caiçara;01.04.2017;8
Real ;01.04.2017;3
Flórida;01.04.2017;0
Solemar;01.04.2017;2
Cidade da Criança;01.04.2017;1
Princesa;01.04.2017;1
Imperador;01.04.2017;0
Melvi;01.04.2017;5
Samambaia;01.04.2017;7
Esmeralda;01.04.2017;2
Ribeirópolis;01.04.2017;1
Andaraguá;01.04.2017;0
Nova Mirim;01.04.2017;6
Anhanguera;01.04.2017;7
Quietude;01.04.2017;7
Santa Marina;01.04.2017;0
Tupiry;01.04.2017;6
Antártica;01.04.2017;8
Vila Sônia;01.04.2017;1
Glória;01.04.2017;1
Sítio do Campo;01.04.2017;15
Xixová;01.04.2017;5
Serra do Mar;01.04.2017;0
Não Informado;01.04.2017;0
Militar;01.04.2018;0
Canto do Forte;01.04.2018;4
Boqueirão;01.04.2018;16
Guilhermina;01.04.2018;11
Aviação;01.04.2018;5
Tupi;01.04.2018;7
Ocian;01.04.2018;7
Mirim;01.04.2018;6
Maracanã;01.04.2018;2
Caiçara;01.04.2018;1
Real ;01.04.2018;0
Flórida;01.04.2018;0
Solemar;01.04.2018;0
Cidade da Criança;01.04.2018;0
Princesa;01.04.2018;0
Imperador;01.04.2018;0
Melvi;01.04.2018;0
Samambaia;01.04.2018;0
Esmeralda;01.04.2018;0
Ribeirópolis;01.04.2018;0
Andaraguá;01.04.2018;0
Nova Mirim;01.04.2018;5
Anhanguera;01.04.2018;3
Quietude;01.04.2018;1
Santa Marina;01.04.2018;0
Tupiry;01.04.2018;2
Antártica;01.04.2018;1
Vila Sônia;01.04.2018;0
Glória;01.04.2018;2
Sítio do Campo;01.04.2018;6
Xixová;01.04.2018;6
Serra do Mar;01.04.2018;0
Não Informado;01.04.2018;0
Militar;01.04.2019;0
Canto do Forte;01.04.2019;4
Boqueirão;01.04.2019;20
Guilhermina;01.04.2019;11
Aviação;01.04.2019;2
Tupi;01.04.2019;11
Ocian;01.04.2019;6
Mirim;01.04.2019;5
Maracanã;01.04.2019;3
Caiçara;01.04.2019;7
Real ;01.04.2019;3
Flórida;01.04.2019;0
Solemar;01.04.2019;2
Cidade da Criança;01.04.2019;0
Princesa;01.04.2019;0
Imperador;01.04.2019;0
Melvi;01.04.2019;1
Samambaia;01.04.2019;2
Esmeralda;01.04.2019;3
Ribeirópolis;01.04.2019;1
Andaraguá;01.04.2019;0
Nova Mirim;01.04.2019;4
Anhanguera;01.04.2019;1
Quietude;01.04.2019;3
Santa Marina;01.04.2019;0
Tupiry;01.04.2019;2
Antártica;01.04.2019;3
Vila Sônia;01.04.2019;2
Glória;01.04.2019;4
Sítio do Campo;01.04.2019;4
Xixová;01.04.2019;3
Serra do Mar;01.04.2019;0
Não Informado;01.04.2019;1
Militar;01.04.2020;0
Canto do Forte;01.04.2020;2
Boqueirão;01.04.2020;3
Guilhermina;01.04.2020;4
Aviação;01.04.2020;1
Tupi;01.04.2020;1
Ocian;01.04.2020;2
Mirim;01.04.2020;2
Maracanã;01.04.2020;2
Caiçara;01.04.2020;3
Real ;01.04.2020;2
Flórida;01.04.2020;1
Solemar;01.04.2020;0
Cidade da Criança;01.04.2020;0
Princesa;01.04.2020;0
Imperador;01.04.2020;0
Melvi;01.04.2020;1
Samambaia;01.04.2020;2
Esmeralda;01.04.2020;2
Ribeirópolis;01.04.2020;1
Andaraguá;01.04.2020;0
Nova Mirim;01.04.2020;1
Anhanguera;01.04.2020;2
Quietude;01.04.2020;0
Santa Marina;01.04.2020;0
Tupiry;01.04.2020;1
Antártica;01.04.2020;2
Vila Sônia;01.04.2020;1
Glória;01.04.2020;1
Sítio do Campo;01.04.2020;2
Xixová;01.04.2020;0
Serra do Mar;01.04.2020;0
Não Informado;01.04.2020;2
Militar;01.04.2021;0
Canto do Forte;01.04.2021;3
Boqueirão;01.04.2021;12
Guilhermina;01.04.2021;3
Aviação;01.04.2021;3
Tupi;01.04.2021;4
Ocian;01.04.2021;0
Mirim;01.04.2021;4
Maracanã;01.04.2021;2
Caiçara;01.04.2021;4
Real ;01.04.2021;0
Flórida;01.04.2021;2
Solemar;01.04.2021;1
Cidade da Criança;01.04.2021;0
Princesa;01.04.2021;0
Imperador;01.04.2021;0
Melvi;01.04.2021;0
Samambaia;01.04.2021;4
Esmeralda;01.04.2021;2
Ribeirópolis;01.04.2021;1
Andaraguá;01.04.2021;0
Nova Mirim;01.04.2021;1
Anhanguera;01.04.2021;1
Quietude;01.04.2021;2
Santa Marina;01.04.2021;0
Tupiry;01.04.2021;1
Antártica;01.04.2021;2
Vila Sônia;01.04.2021;3
Glória;01.04.2021;1
Sítio do Campo;01.04.2021;2
Xixová;01.04.2021;2
Serra do Mar;01.04.2021;0
Não Informado;01.04.2021;0
Militar;01.05.2013;0
Canto do Forte;01.05.2013;3
Boqueirão;01.05.2013;26
Guilhermina;01.05.2013;8
Aviação;01.05.2013;11
Tupi;01.05.2013;6
Ocian;01.05.2013;8
Mirim;01.05.2013;0
Maracanã;01.05.2013;0
Caiçara;01.05.2013;0
Real ;01.05.2013;0
Flórida;01.05.2013;0
Solemar;01.05.2013;0
Cidade da Criança;01.05.2013;0
Princesa;01.05.2013;0
Imperador;01.05.2013;0
Melvi;01.05.2013;0
Samambaia;01.05.2013;0
Esmeralda;01.05.2013;0
Ribeirópolis;01.05.2013;0
Andaraguá;01.05.2013;0
Nova Mirim;01.05.2013;4
Anhanguera;01.05.2013;2
Quietude;01.05.2013;1
Santa Marina;01.05.2013;0
Tupiry;01.05.2013;1
Antártica;01.05.2013;2
Vila Sônia;01.05.2013;7
Glória;01.05.2013;6
Sítio do Campo;01.05.2013;12
Xixová;01.05.2013;13
Serra do Mar;01.05.2013;0
Não Informado;01.05.2013;0
Militar;01.05.2014;0
Canto do Forte;01.05.2014;4
Boqueirão;01.05.2014;24
Guilhermina;01.05.2014;18
Aviação;01.05.2014;5
Tupi;01.05.2014;7
Ocian;01.05.2014;7
Mirim;01.05.2014;0
Maracanã;01.05.2014;0
Caiçara;01.05.2014;0
Real ;01.05.2014;0
Flórida;01.05.2014;0
Solemar;01.05.2014;0
Cidade da Criança;01.05.2014;0
Princesa;01.05.2014;0
Imperador;01.05.2014;0
Melvi;01.05.2014;0
Samambaia;01.05.2014;1
Esmeralda;01.05.2014;1
Ribeirópolis;01.05.2014;0
Andaraguá;01.05.2014;0
Nova Mirim;01.05.2014;4
Anhanguera;01.05.2014;5
Quietude;01.05.2014;2
Santa Marina;01.05.2014;0
Tupiry;01.05.2014;3
Antártica;01.05.2014;8
Vila Sônia;01.05.2014;1
Glória;01.05.2014;7
Sítio do Campo;01.05.2014;14
Xixová;01.05.2014;10
Serra do Mar;01.05.2014;0
Não Informado;01.05.2014;0
Militar;01.05.2015;0
Canto do Forte;01.05.2015;10
Boqueirão;01.05.2015;23
Guilhermina;01.05.2015;14
Aviação;01.05.2015;11
Tupi;01.05.2015;16
Ocian;01.05.2015;6
Mirim;01.05.2015;15
Maracanã;01.05.2015;2
Caiçara;01.05.2015;6
Real ;01.05.2015;0
Flórida;01.05.2015;0
Solemar;01.05.2015;1
Cidade da Criança;01.05.2015;0
Princesa;01.05.2015;0
Imperador;01.05.2015;0
Melvi;01.05.2015;2
Samambaia;01.05.2015;4
Esmeralda;01.05.2015;4
Ribeirópolis;01.05.2015;0
Andaraguá;01.05.2015;0
Nova Mirim;01.05.2015;6
Anhanguera;01.05.2015;2
Quietude;01.05.2015;8
Santa Marina;01.05.2015;0
Tupiry;01.05.2015;2
Antártica;01.05.2015;9
Vila Sônia;01.05.2015;5
Glória;01.05.2015;4
Sítio do Campo;01.05.2015;11
Xixová;01.05.2015;14
Serra do Mar;01.05.2015;0
Não Informado;01.05.2015;0
Militar;01.05.2016;0
Canto do Forte;01.05.2016;3
Boqueirão;01.05.2016;18
Guilhermina;01.05.2016;13
Aviação;01.05.2016;11
Tupi;01.05.2016;8
Ocian;01.05.2016;12
Mirim;01.05.2016;12
Maracanã;01.05.2016;4
Caiçara;01.05.2016;5
Real ;01.05.2016;1
Flórida;01.05.2016;0
Solemar;01.05.2016;0
Cidade da Criança;01.05.2016;0
Princesa;01.05.2016;1
Imperador;01.05.2016;0
Melvi;01.05.2016;4
Samambaia;01.05.2016;7
Esmeralda;01.05.2016;1
Ribeirópolis;01.05.2016;4
Andaraguá;01.05.2016;0
Nova Mirim;01.05.2016;0
Anhanguera;01.05.2016;6
Quietude;01.05.2016;7
Santa Marina;01.05.2016;0
Tupiry;01.05.2016;6
Antártica;01.05.2016;6
Vila Sônia;01.05.2016;5
Glória;01.05.2016;3
Sítio do Campo;01.05.2016;8
Xixová;01.05.2016;8
Serra do Mar;01.05.2016;0
Não Informado;01.05.2016;0
Militar;01.05.2017;0
Canto do Forte;01.05.2017;5
Boqueirão;01.05.2017;20
Guilhermina;01.05.2017;18
Aviação;01.05.2017;6
Tupi;01.05.2017;7
Ocian;01.05.2017;8
Mirim;01.05.2017;6
Maracanã;01.05.2017;1
Caiçara;01.05.2017;5
Real ;01.05.2017;1
Flórida;01.05.2017;2
Solemar;01.05.2017;0
Cidade da Criança;01.05.2017;1
Princesa;01.05.2017;0
Imperador;01.05.2017;0
Melvi;01.05.2017;1
Samambaia;01.05.2017;6
Esmeralda;01.05.2017;1
Ribeirópolis;01.05.2017;1
Andaraguá;01.05.2017;0
Nova Mirim;01.05.2017;5
Anhanguera;01.05.2017;2
Quietude;01.05.2017;5
Santa Marina;01.05.2017;0
Tupiry;01.05.2017;0
Antártica;01.05.2017;3
Vila Sônia;01.05.2017;3
Glória;01.05.2017;3
Sítio do Campo;01.05.2017;11
Xixová;01.05.2017;5
Serra do Mar;01.05.2017;0
Não Informado;01.05.2017;0
Militar;01.05.2018;0
Canto do Forte;01.05.2018;5
Boqueirão;01.05.2018;8
Guilhermina;01.05.2018;5
Aviação;01.05.2018;2
Tupi;01.05.2018;5
Ocian;01.05.2018;3
Mirim;01.05.2018;3
Maracanã;01.05.2018;1
Caiçara;01.05.2018;1
Real ;01.05.2018;0
Flórida;01.05.2018;0
Solemar;01.05.2018;0
Cidade da Criança;01.05.2018;0
Princesa;01.05.2018;0
Imperador;01.05.2018;0
Melvi;01.05.2018;0
Samambaia;01.05.2018;0
Esmeralda;01.05.2018;0
Ribeirópolis;01.05.2018;0
Andaraguá;01.05.2018;0
Nova Mirim;01.05.2018;0
Anhanguera;01.05.2018;1
Quietude;01.05.2018;0
Santa Marina;01.05.2018;0
Tupiry;01.05.2018;1
Antártica;01.05.2018;2
Vila Sônia;01.05.2018;2
Glória;01.05.2018;0
Sítio do Campo;01.05.2018;5
Xixová;01.05.2018;4
Serra do Mar;01.05.2018;0
Não Informado;01.05.2018;0
Militar;01.05.2019;0
Canto do Forte;01.05.2019;6
Boqueirão;01.05.2019;14
Guilhermina;01.05.2019;8
Aviação;01.05.2019;4
Tupi;01.05.2019;1
Ocian;01.05.2019;4
Mirim;01.05.2019;5
Maracanã;01.05.2019;0
Caiçara;01.05.2019;3
Real ;01.05.2019;1
Flórida;01.05.2019;0
Solemar;01.05.2019;0
Cidade da Criança;01.05.2019;2
Princesa;01.05.2019;1
Imperador;01.05.2019;0
Melvi;01.05.2019;2
Samambaia;01.05.2019;3
Esmeralda;01.05.2019;4
Ribeirópolis;01.05.2019;2
Andaraguá;01.05.2019;0
Nova Mirim;01.05.2019;1
Anhanguera;01.05.2019;2
Quietude;01.05.2019;4
Santa Marina;01.05.2019;0
Tupiry;01.05.2019;0
Antártica;01.05.2019;1
Vila Sônia;01.05.2019;3
Glória;01.05.2019;1
Sítio do Campo;01.05.2019;9
Xixová;01.05.2019;7
Serra do Mar;01.05.2019;0
Não Informado;01.05.2019;1
Militar;01.05.2020;0
Canto do Forte;01.05.2020;2
Boqueirão;01.05.2020;4
Guilhermina;01.05.2020;3
Aviação;01.05.2020;4
Tupi;01.05.2020;3
Ocian;01.05.2020;2
Mirim;01.05.2020;1
Maracanã;01.05.2020;2
Caiçara;01.05.2020;3
Real ;01.05.2020;1
Flórida;01.05.2020;1
Solemar;01.05.2020;0
Cidade da Criança;01.05.2020;0
Princesa;01.05.2020;0
Imperador;01.05.2020;0
Melvi;01.05.2020;0
Samambaia;01.05.2020;4
Esmeralda;01.05.2020;0
Ribeirópolis;01.05.2020;4
Andaraguá;01.05.2020;0
Nova Mirim;01.05.2020;4
Anhanguera;01.05.2020;2
Quietude;01.05.2020;3
Santa Marina;01.05.2020;0
Tupiry;01.05.2020;0
Antártica;01.05.2020;3
Vila Sônia;01.05.2020;0
Glória;01.05.2020;1
Sítio do Campo;01.05.2020;1
Xixová;01.05.2020;1
Serra do Mar;01.05.2020;0
Não Informado;01.05.2020;1
Militar;01.05.2021;0
Canto do Forte;01.05.2021;4
Boqueirão;01.05.2021;6
Guilhermina;01.05.2021;0
Aviação;01.05.2021;4
Tupi;01.05.2021;2
Ocian;01.05.2021;2
Mirim;01.05.2021;4
Maracanã;01.05.2021;4
Caiçara;01.05.2021;2
Real ;01.05.2021;1
Flórida;01.05.2021;1
Solemar;01.05.2021;0
Cidade da Criança;01.05.2021;2
Princesa;01.05.2021;0
Imperador;01.05.2021;0
Melvi;01.05.2021;2
Samambaia;01.05.2021;6
Esmeralda;01.05.2021;3
Ribeirópolis;01.05.2021;1
Andaraguá;01.05.2021;0
Nova Mirim;01.05.2021;1
Anhanguera;01.05.2021;0
Quietude;01.05.2021;1
Santa Marina;01.05.2021;0
Tupiry;01.05.2021;0
Antártica;01.05.2021;0
Vila Sônia;01.05.2021;4
Glória;01.05.2021;3
Sítio do Campo;01.05.2021;11
Xixová;01.05.2021;2
Serra do Mar;01.05.2021;0
Não Informado;01.05.2021;0
Militar;01.06.2013;0
Canto do Forte;01.06.2013;10
Boqueirão;01.06.2013;25
Guilhermina;01.06.2013;12
Aviação;01.06.2013;6
Tupi;01.06.2013;5
Ocian;01.06.2013;5
Mirim;01.06.2013;2
Maracanã;01.06.2013;0
Caiçara;01.06.2013;0
Real ;01.06.2013;0
Flórida;01.06.2013;0
Solemar;01.06.2013;0
Cidade da Criança;01.06.2013;0
Princesa;01.06.2013;0
Imperador;01.06.2013;0
Melvi;01.06.2013;0
Samambaia;01.06.2013;0
Esmeralda;01.06.2013;0
Ribeirópolis;01.06.2013;0
Andaraguá;01.06.2013;0
Nova Mirim;01.06.2013;1
Anhanguera;01.06.2013;2
Quietude;01.06.2013;7
Santa Marina;01.06.2013;0
Tupiry;01.06.2013;2
Antártica;01.06.2013;4
Vila Sônia;01.06.2013;6
Glória;01.06.2013;3
Sítio do Campo;01.06.2013;10
Xixová;01.06.2013;14
Serra do Mar;01.06.2013;0
Não Informado;01.06.2013;0
Militar;01.06.2014;0
Canto do Forte;01.06.2014;10
Boqueirão;01.06.2014;26
Guilhermina;01.06.2014;15
Aviação;01.06.2014;8
Tupi;01.06.2014;5
Ocian;01.06.2014;4
Mirim;01.06.2014;3
Maracanã;01.06.2014;0
Caiçara;01.06.2014;0
Real ;01.06.2014;1
Flórida;01.06.2014;0
Solemar;01.06.2014;0
Cidade da Criança;01.06.2014;0
Princesa;01.06.2014;0
Imperador;01.06.2014;0
Melvi;01.06.2014;0
Samambaia;01.06.2014;0
Esmeralda;01.06.2014;0
Ribeirópolis;01.06.2014;0
Andaraguá;01.06.2014;0
Nova Mirim;01.06.2014;2
Anhanguera;01.06.2014;4
Quietude;01.06.2014;1
Santa Marina;01.06.2014;0
Tupiry;01.06.2014;1
Antártica;01.06.2014;6
Vila Sônia;01.06.2014;3
Glória;01.06.2014;3
Sítio do Campo;01.06.2014;7
Xixová;01.06.2014;16
Serra do Mar;01.06.2014;0
Não Informado;01.06.2014;0
Militar;01.06.2015;0
Canto do Forte;01.06.2015;11
Boqueirão;01.06.2015;23
Guilhermina;01.06.2015;13
Aviação;01.06.2015;9
Tupi;01.06.2015;11
Ocian;01.06.2015;8
Mirim;01.06.2015;4
Maracanã;01.06.2015;1
Caiçara;01.06.2015;11
Real ;01.06.2015;2
Flórida;01.06.2015;0
Solemar;01.06.2015;2
Cidade da Criança;01.06.2015;0
Princesa;01.06.2015;0
Imperador;01.06.2015;0
Melvi;01.06.2015;4
Samambaia;01.06.2015;1
Esmeralda;01.06.2015;9
Ribeirópolis;01.06.2015;3
Andaraguá;01.06.2015;0
Nova Mirim;01.06.2015;4
Anhanguera;01.06.2015;4
Quietude;01.06.2015;6
Santa Marina;01.06.2015;0
Tupiry;01.06.2015;7
Antártica;01.06.2015;11
Vila Sônia;01.06.2015;3
Glória;01.06.2015;2
Sítio do Campo;01.06.2015;11
Xixová;01.06.2015;11
Serra do Mar;01.06.2015;0
Não Informado;01.06.2015;0
Militar;01.06.2016;0
Canto do Forte;01.06.2016;9
Boqueirão;01.06.2016;17
Guilhermina;01.06.2016;7
Aviação;01.06.2016;6
Tupi;01.06.2016;13
Ocian;01.06.2016;7
Mirim;01.06.2016;8
Maracanã;01.06.2016;2
Caiçara;01.06.2016;7
Real ;01.06.2016;0
Flórida;01.06.2016;0
Solemar;01.06.2016;1
Cidade da Criança;01.06.2016;0
Princesa;01.06.2016;0
Imperador;01.06.2016;0
Melvi;01.06.2016;2
Samambaia;01.06.2016;5
Esmeralda;01.06.2016;1
Ribeirópolis;01.06.2016;2
Andaraguá;01.06.2016;1
Nova Mirim;01.06.2016;7
Anhanguera;01.06.2016;7
Quietude;01.06.2016;4
Santa Marina;01.06.2016;0
Tupiry;01.06.2016;3
Antártica;01.06.2016;2
Vila Sônia;01.06.2016;9
Glória;01.06.2016;2
Sítio do Campo;01.06.2016;4
Xixová;01.06.2016;1
Serra do Mar;01.06.2016;0
Não Informado;01.06.2016;0
Militar;01.06.2017;0
Canto do Forte;01.06.2017;4
Boqueirão;01.06.2017;26
Guilhermina;01.06.2017;13
Aviação;01.06.2017;10
Tupi;01.06.2017;9
Ocian;01.06.2017;11
Mirim;01.06.2017;13
Maracanã;01.06.2017;3
Caiçara;01.06.2017;3
Real ;01.06.2017;1
Flórida;01.06.2017;1
Solemar;01.06.2017;1
Cidade da Criança;01.06.2017;1
Princesa;01.06.2017;0
Imperador;01.06.2017;0
Melvi;01.06.2017;3
Samambaia;01.06.2017;7
Esmeralda;01.06.2017;1
Ribeirópolis;01.06.2017;2
Andaraguá;01.06.2017;0
Nova Mirim;01.06.2017;3
Anhanguera;01.06.2017;8
Quietude;01.06.2017;2
Santa Marina;01.06.2017;0
Tupiry;01.06.2017;2
Antártica;01.06.2017;5
Vila Sônia;01.06.2017;3
Glória;01.06.2017;2
Sítio do Campo;01.06.2017;10
Xixová;01.06.2017;2
Serra do Mar;01.06.2017;0
Não Informado;01.06.2017;0
Militar;01.06.2018;0
Canto do Forte;01.06.2018;2
Boqueirão;01.06.2018;11
Guilhermina;01.06.2018;6
Aviação;01.06.2018;3
Tupi;01.06.2018;8
Ocian;01.06.2018;10
Mirim;01.06.2018;4
Maracanã;01.06.2018;1
Caiçara;01.06.2018;1
Real ;01.06.2018;0
Flórida;01.06.2018;1
Solemar;01.06.2018;0
Cidade da Criança;01.06.2018;0
Princesa;01.06.2018;0
Imperador;01.06.2018;0
Melvi;01.06.2018;0
Samambaia;01.06.2018;1
Esmeralda;01.06.2018;0
Ribeirópolis;01.06.2018;0
Andaraguá;01.06.2018;0
Nova Mirim;01.06.2018;2
Anhanguera;01.06.2018;1
Quietude;01.06.2018;3
Santa Marina;01.06.2018;0
Tupiry;01.06.2018;2
Antártica;01.06.2018;3
Vila Sônia;01.06.2018;5
Glória;01.06.2018;0
Sítio do Campo;01.06.2018;5
Xixová;01.06.2018;2
Serra do Mar;01.06.2018;0
Não Informado;01.06.2018;1
Militar;01.06.2019;0
Canto do Forte;01.06.2019;4
Boqueirão;01.06.2019;19
Guilhermina;01.06.2019;9
Aviação;01.06.2019;7
Tupi;01.06.2019;5
Ocian;01.06.2019;12
Mirim;01.06.2019;7
Maracanã;01.06.2019;5
Caiçara;01.06.2019;6
Real ;01.06.2019;3
Flórida;01.06.2019;0
Solemar;01.06.2019;0
Cidade da Criança;01.06.2019;0
Princesa;01.06.2019;0
Imperador;01.06.2019;0
Melvi;01.06.2019;5
Samambaia;01.06.2019;5
Esmeralda;01.06.2019;1
Ribeirópolis;01.06.2019;1
Andaraguá;01.06.2019;0
Nova Mirim;01.06.2019;3
Anhanguera;01.06.2019;1
Quietude;01.06.2019;3
Santa Marina;01.06.2019;0
Tupiry;01.06.2019;2
Antártica;01.06.2019;8
Vila Sônia;01.06.2019;3
Glória;01.06.2019;2
Sítio do Campo;01.06.2019;4
Xixová;01.06.2019;10
Serra do Mar;01.06.2019;0
Não Informado;01.06.2019;1
Militar;01.06.2020;0
Canto do Forte;01.06.2020;3
Boqueirão;01.06.2020;4
Guilhermina;01.06.2020;5
Aviação;01.06.2020;6
Tupi;01.06.2020;3
Ocian;01.06.2020;1
Mirim;01.06.2020;2
Maracanã;01.06.2020;1
Caiçara;01.06.2020;3
Real ;01.06.2020;1
Flórida;01.06.2020;0
Solemar;01.06.2020;0
Cidade da Criança;01.06.2020;0
Princesa;01.06.2020;2
Imperador;01.06.2020;0
Melvi;01.06.2020;0
Samambaia;01.06.2020;0
Esmeralda;01.06.2020;1
Ribeirópolis;01.06.2020;4
Andaraguá;01.06.2020;0
Nova Mirim;01.06.2020;1
Anhanguera;01.06.2020;1
Quietude;01.06.2020;1
Santa Marina;01.06.2020;0
Tupiry;01.06.2020;0
Antártica;01.06.2020;2
Vila Sônia;01.06.2020;0
Glória;01.06.2020;1
Sítio do Campo;01.06.2020;1
Xixová;01.06.2020;2
Serra do Mar;01.06.2020;0
Não Informado;01.06.2020;2
Militar;01.06.2021;0
Canto do Forte;01.06.2021;3
Boqueirão;01.06.2021;10
Guilhermina;01.06.2021;6
Aviação;01.06.2021;2
Tupi;01.06.2021;6
Ocian;01.06.2021;3
Mirim;01.06.2021;3
Maracanã;01.06.2021;2
Caiçara;01.06.2021;4
Real ;01.06.2021;1
Flórida;01.06.2021;0
Solemar;01.06.2021;1
Cidade da Criança;01.06.2021;0
Princesa;01.06.2021;1
Imperador;01.06.2021;0
Melvi;01.06.2021;1
Samambaia;01.06.2021;4
Esmeralda;01.06.2021;5
Ribeirópolis;01.06.2021;2
Andaraguá;01.06.2021;0
Nova Mirim;01.06.2021;1
Anhanguera;01.06.2021;3
Quietude;01.06.2021;1
Santa Marina;01.06.2021;0
Tupiry;01.06.2021;1
Antártica;01.06.2021;2
Vila Sônia;01.06.2021;2
Glória;01.06.2021;2
Sítio do Campo;01.06.2021;5
Xixová;01.06.2021;4
Serra do Mar;01.06.2021;0
Não Informado;01.06.2021;5
Militar;01.07.2013;0
Canto do Forte;01.07.2013;9
Boqueirão;01.07.2013;28
Guilhermina;01.07.2013;9
Aviação;01.07.2013;8
Tupi;01.07.2013;5
Ocian;01.07.2013;3
Mirim;01.07.2013;1
Maracanã;01.07.2013;0
Caiçara;01.07.2013;0
Real ;01.07.2013;0
Flórida;01.07.2013;0
Solemar;01.07.2013;0
Cidade da Criança;01.07.2013;0
Princesa;01.07.2013;0
Imperador;01.07.2013;0
Melvi;01.07.2013;0
Samambaia;01.07.2013;1
Esmeralda;01.07.2013;1
Ribeirópolis;01.07.2013;0
Andaraguá;01.07.2013;0
Nova Mirim;01.07.2013;3
Anhanguera;01.07.2013;4
Quietude;01.07.2013;2
Santa Marina;01.07.2013;0
Tupiry;01.07.2013;1
Antártica;01.07.2013;9
Vila Sônia;01.07.2013;1
Glória;01.07.2013;2
Sítio do Campo;01.07.2013;8
Xixová;01.07.2013;8
Serra do Mar;01.07.2013;0
Não Informado;01.07.2013;0
Militar;01.07.2014;0
Canto do Forte;01.07.2014;5
Boqueirão;01.07.2014;18
Guilhermina;01.07.2014;16
Aviação;01.07.2014;11
Tupi;01.07.2014;6
Ocian;01.07.2014;6
Mirim;01.07.2014;6
Maracanã;01.07.2014;0
Caiçara;01.07.2014;0
Real ;01.07.2014;0
Flórida;01.07.2014;0
Solemar;01.07.2014;0
Cidade da Criança;01.07.2014;0
Princesa;01.07.2014;0
Imperador;01.07.2014;0
Melvi;01.07.2014;0
Samambaia;01.07.2014;0
Esmeralda;01.07.2014;1
Ribeirópolis;01.07.2014;0
Andaraguá;01.07.2014;0
Nova Mirim;01.07.2014;5
Anhanguera;01.07.2014;2
