Bairro;Data;Acidentes de Trânsito
Ribeirópolis;01.01.2018;3
Andaraguá;01.01.2018;0
Nova Mirim;01.01.2018;6
Anhanguera;01.01.2018;3
Quietude;01.01.2018;1
Santa Marina;01.01.2018;0
Tupiry;01.01.2018;2
Antártica;01.01.2018;7
Vila Sônia;01.01.2018;3
Glória;01.01.2018;3
Sítio do Campo;01.01.2018;11
Xixová;01.01.2018;7
Serra do Mar;01.01.2018;0
Não Informado;01.01.2018;0
Militar;01.01.2019;0
Canto do Forte;01.01.2019;5
Boqueirão;01.01.2019;13
Guilhermina;01.01.2019;11
Aviação;01.01.2019;6
Tupi;01.01.2019;12
Ocian;01.01.2019;11
Mirim;01.01.2019;11
Maracanã;01.01.2019;2
Caiçara;01.01.2019;7
Real ;01.01.2019;1
Flórida;01.01.2019;1
Solemar;01.01.2019;0
Cidade da Criança;01.01.2019;1
Princesa;01.01.2019;0
Imperador;01.01.2019;0
Melvi;01.01.2019;2
Samambaia;01.01.2019;5
Esmeralda;01.01.2019;2
Ribeirópolis;01.01.2019;1
Andaraguá;01.01.2019;0
Nova Mirim;01.01.2019;7
Anhanguera;01.01.2019;2
Quietude;01.01.2019;7
Santa Marina;01.01.2019;0
Tupiry;01.01.2019;2
Antártica;01.01.2019;1
Vila Sônia;01.01.2019;0
Glória;01.01.2019;5
Sítio do Campo;01.01.2019;11
Xixová;01.01.2019;2
Serra do Mar;01.01.2019;0
Não Informado;01.01.2019;4
Militar;01.01.2020;0
Canto do Forte;01.01.2020;5
Boqueirão;01.01.2020;9
Guilhermina;01.01.2020;7
Aviação;01.01.2020;6
Tupi;01.01.2020;5
Ocian;01.01.2020;5
Mirim;01.01.2020;2
Maracanã;01.01.2020;1
Caiçara;01.01.2020;4
Real ;01.01.2020;1
Flórida;01.01.2020;1
Solemar;01.01.2020;0
Cidade da Criança;01.01.2020;0
Princesa;01.01.2020;0
Imperador;01.01.2020;0
Melvi;01.01.2020;1
Samambaia;01.01.2020;8
Esmeralda;01.01.2020;1
Ribeirópolis;01.01.2020;4
Andaraguá;01.01.2020;0
Nova Mirim;01.01.2020;2
Anhanguera;01.01.2020;0
Quietude;01.01.2020;4
Santa Marina;01.01.2020;0
Tupiry;01.01.2020;0
Antártica;01.01.2020;2
Vila Sônia;01.01.2020;1
Glória;01.01.2020;1
Sítio do Campo;01.01.2020;6
Xixová;01.01.2020;7
Serra do Mar;01.01.2020;0
Não Informado;01.01.2020;4
Militar;01.01.2021;0
Canto do Forte;01.01.2021;3
Boqueirão;01.01.2021;10
Guilhermina;01.01.2021;3
Aviação;01.01.2021;5
Tupi;01.01.2021;5
Ocian;01.01.2021;10
Mirim;01.01.2021;5
Maracanã;01.01.2021;5
Caiçara;01.01.2021;7
Real ;01.01.2021;2
Flórida;01.01.2021;0
Solemar;01.01.2021;1
Cidade da Criança;01.01.2021;0
Princesa;01.01.2021;0
Imperador;01.01.2021;0
Melvi;01.01.2021;3
Samambaia;01.01.2021;4
Esmeralda;01.01.2021;3
Ribeirópolis;01.01.2021;5
Andaraguá;01.01.2021;0
Nova Mirim;01.01.2021;0
Anhanguera;01.01.2021;2
Quietude;01.01.2021;0
