Bairro;Ano;Acidentes de Trânsito Por Ano;
Xixová;2018;37;
Serra do Mar;2018;0;
Não identificado;2018;4;
Militar;2017;0;
Canto do Forte;2017;79;
Boqueirão;2017;250;
Guilhermina;2017;195;
Aviação;2017;111;
Tupi;2017;130;
Ocian;2017;138;
Mirim;2017;115;
Maracanã;2017;25;
Caiçara;2017;87;
Real;2017;27;
Flórida;2017;10;
Solemar;2017;15;
Cidade da Criança;2017;6;
Princesa;2017;10;
Imperador;2017;0;
Melvi;2017;31;
Samambaia;2017;56;
Esmeralda;2017;38;
Ribeirópolis;2017;28;
Andaraguá;2017;0;
Nova Mirim;2017;49;
Anhanguera;2017;52;
Quietude;2017;53;
Santa Marina;2017;0;
Tupiry;2017;27;
Antártica;2017;49;
Vila Sônia;2017;35;
Glória;2017;38;
Sítio do Campo;2017;108;
Xixová;2017;51;
Serra do Mar;2017;0;
Não identificado;2017;0;
Militar;2016;0;
Canto do Forte;2016;95;
Boqueirão;2016;283;
Guilhermina;2016;167;
Aviação;2016;98;
Tupi;2016;121;
Ocian;2016;139;
Mirim;2016;116;
Maracanã;2016;41;
Caiçara;2016;102;
Real;2016;24;
Flórida;2016;13;
Solemar;2016;10;
Cidade da Criança;2016;11;
Princesa;2016;9;
Imperador;2016;2;
Melvi;2016;33;
Samambaia;2016;66;
Esmeralda;2016;38;
Ribeirópolis;2016;33;
Andaraguá;2016;2;
Nova Mirim;2016;48;
Anhanguera;2016;60;
Quietude;2016;59;
Santa Marina;2016;0;
Tupiry;2016;45;
Antártica;2016;57;
Vila Sônia;2016;57;
Glória;2016;25;
Sítio do Campo;2016;125;
Xixová;2016;96;
Serra do Mar;2016;0;
Não identificado;2016;0;
Militar;2015;0;
Canto do Forte;2015;89;
Boqueirão;2015;289;
Guilhermina;2015;197;
Aviação;2015;119;
Tupi;2015;187;
Ocian;2015;138;
Mirim;2015;126;
Maracanã;2015;27;
Caiçara;2015;97;
Real;2015;20;
Flórida;2015;15;
Solemar;2015;16;
Cidade da Criança;2015;3;
Princesa;2015;3;
Imperador;2015;0;
Melvi;2015;38;
Samambaia;2015;67;
Esmeralda;2015;38;
Ribeirópolis;2015;28;
Andaraguá;2015;0;
Nova Mirim;2015;44;
Anhanguera;2015;44;
Quietude;2015;66;
Santa Marina;2015;0;
Tupiry;2015;35;
Antártica;2015;83;
Vila Sônia;2015;61;
Glória;2015;46;
Sítio do Campo;2015;109;
Xixová;2015;196;
Serra do Mar;2015;0;
Não identificado;2015;0;
Militar;2014;0;
Canto do Forte;2014;90;
Boqueirão;2014;320;
Guilhermina;2014;215;
Aviação;2014;116;
Tupi;2014;94;
Ocian;2014;76;
Mirim;2014;55;
Maracanã;2014;3;
Caiçara;2014;3;
Real;2014;1;
Flórida;2014;0;
Solemar;2014;2;
Cidade da Criança;2014;1;
Princesa;2014;0;
Imperador;2014;0;
Melvi;2014;2;
Samambaia;2014;5;
Esmeralda;2014;3;
Ribeirópolis;2014;3;
Andaraguá;2014;0;
Nova Mirim;2014;46;
Anhanguera;2014;42;
Quietude;2014;36;
Santa Marina;2014;0;
Tupiry;2014;23;
Antártica;2014;61;
Vila Sônia;2014;43;
Glória;2014;44;
Sítio do Campo;2014;121;
Xixová;2014;173;
Serra do Mar;2014;0;
Não identificado;2014;0;
Militar;2013;0;
Canto do Forte;2013;83;
Boqueirão;2013;390;
Guilhermina;2013;198;
Aviação;2013;91;
Tupi;2013;98;
Ocian;2013;66;
Mirim;2013;43;
Maracanã;2013;0;
Caiçara;2013;2;
Real;2013;1;
Flórida;2013;0;
Solemar;2013;0;
Cidade da Criança;2013;0;
Princesa;2013;0;
Imperador;2013;0;
Melvi;2013;3;
Samambaia;2013;3;
Esmeralda;2013;1;
Ribeirópolis;2013;1;
Andaraguá;2013;0;
Nova Mirim;2013;38;
Anhanguera;2013;38;
Quietude;2013;40;
Santa Marina;2013;0;
Tupiry;2013;22;
Antártica;2013;63;
Vila Sônia;2013;60;
Glória;2013;45;
Sítio do Campo;2013;114;
Xixová;2013;136;
Serra do Mar;2013;0;
Não identificado;2013;0;
Militar;2012;0;
Canto do Forte;2012;107;
Boqueirão;2012;327;
Guilhermina;2012;198;
Aviação;2012;107;
Tupi;2012;112;
Ocian;2012;102;
Mirim;2012;58;
Maracanã;2012;0;
Caiçara;2012;4;
Real;2012;0;
Flórida;2012;1;
Solemar;2012;0;
Cidade da Criança;2012;0;
Princesa;2012;0;
Imperador;2012;0;
Melvi;2012;3;
Samambaia;2012;2;
Esmeralda;2012;2;
Ribeirópolis;2012;0;
Andaraguá;2012;0;
Nova Mirim;2012;39;
Anhanguera;2012;54;
Quietude;2012;31;
Santa Marina;2012;0;
Tupiry;2012;27;
Antártica;2012;85;
Vila Sônia;2012;63;
Glória;2012;47;
Sítio do Campo;2012;427;
Xixová;2012;0;
Serra do Mar;2012;0;
Não identificado;2012;0;
Militar;2011;0;
Canto do Forte;2011;92;
Boqueirão;2011;297;
Guilhermina;2011;226;
Aviação;2011;97;
Tupi;2011;123;
Ocian;2011;124;
Mirim;2011;72;
Maracanã;2011;10;
Caiçara;2011;14;
Real;2011;2;
